,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
ue,1.000000,-0.699336,-0.561095,0.577782,0.998232,0.204889,-0.999788,0.412685,-0.031097,0.006703,-0.375239,0.533842,0.335624,-0.164047,0.051879,0.167534,-0.170327,0.221696
oe,-0.699336,1.000000,0.239177,-0.690106,-0.699990,-0.101277,0.698907,-0.443476,-0.174155,-0.095166,0.177293,-0.227237,-0.399817,0.244023,-0.181321,-0.134286,0.135476,-0.419374
rec,-0.561095,0.239177,1.000000,0.060668,-0.571193,-0.193254,0.561026,-0.246038,0.025807,0.205498,0.424606,-0.949747,-0.185670,0.136047,0.027340,-0.226710,0.229212,-0.269780
pre,0.577782,-0.690106,0.060668,1.000000,0.570201,0.030872,-0.577664,0.174455,-0.117786,0.361966,0.093033,-0.061316,0.216107,-0.247602,0.164827,-0.121611,0.120777,-0.085891
ue_np,0.998232,-0.699990,-0.571193,0.570201,1.000000,0.206633,-0.998057,0.417435,-0.031741,0.000372,-0.383274,0.544569,0.339961,-0.165696,0.047647,0.174425,-0.176920,0.229943
ue_levin,0.204889,-0.101277,-0.193254,0.030872,0.206633,1.000000,-0.204848,0.242200,0.089296,-0.119139,-0.205488,0.192712,0.162382,0.008757,-0.028942,0.140867,-0.142330,0.204871
asa,-0.999788,0.698907,0.561026,-0.577664,-0.998057,-0.204848,1.000000,-0.412575,0.031153,-0.006730,0.375600,-0.533727,-0.335367,0.164434,-0.051939,-0.167561,0.175872,-0.221641
sse_rgb,0.412685,-0.443476,-0.246038,0.174455,0.417435,0.242200,-0.412575,1.000000,0.172595,-0.097476,-0.562800,0.258941,0.887011,-0.178281,-0.009794,0.162760,-0.165928,0.406220
sse_xy,-0.031097,-0.174155,0.025807,-0.117786,-0.031741,0.089296,0.031153,0.172595,1.000000,-0.376908,-0.179101,-0.015334,0.118135,0.205947,-0.157775,0.173069,-0.164149,0.650707
co,0.006703,-0.095166,0.205498,0.361966,0.000372,-0.119139,-0.006730,-0.097476,-0.376908,1.000000,0.303129,-0.211392,-0.058004,-0.606619,0.271680,-0.224748,0.227204,-0.387838
ev,-0.375239,0.177293,0.424606,0.093033,-0.383274,-0.205488,0.375600,-0.562800,-0.179101,0.303129,1.000000,-0.420605,-0.461229,0.035088,0.124219,-0.383159,0.384848,-0.460014
mde,0.533842,-0.227237,-0.949747,-0.061316,0.544569,0.192712,-0.533727,0.258941,-0.015334,-0.211392,-0.420605,1.000000,0.192973,-0.128765,-0.035371,0.245071,-0.243895,0.272109
icv,0.335624,-0.399817,-0.185670,0.216107,0.339961,0.162382,-0.335367,0.887011,0.118135,-0.058004,-0.461229,0.192973,1.000000,-0.181590,-0.027764,0.091094,-0.090977,0.309055
cd,-0.164047,0.244023,0.136047,-0.247602,-0.165696,0.008757,0.164434,-0.178281,0.205947,-0.606619,0.035088,-0.128765,-0.181590,1.000000,-0.296535,0.084136,-0.081385,-0.106885
reg,0.051879,-0.181321,0.027340,0.164827,0.047647,-0.028942,-0.051939,-0.009794,-0.157775,0.271680,0.124219,-0.035371,-0.027764,-0.296535,1.000000,-0.039552,0.040359,0.005972
sp,0.167534,-0.134286,-0.226710,-0.121611,0.174425,0.140867,-0.167561,0.162760,0.173069,-0.224748,-0.383159,0.245071,0.091094,0.084136,-0.039552,1.000000,-0.996552,0.365519
sp_size,-0.170327,0.135476,0.229212,0.120777,-0.176920,-0.142330,0.175872,-0.165928,-0.164149,0.227204,0.384848,-0.243895,-0.090977,-0.081385,0.040359,-0.996552,1.000000,-0.358057
sp_size_variation,0.221696,-0.419374,-0.269780,-0.085891,0.229943,0.204871,-0.221641,0.406220,0.650707,-0.387838,-0.460014,0.272109,0.309055,-0.106885,0.005972,0.365519,-0.358057,1.000000
