metric,mean[0],mean[1],mean[2],mean[3],mean[4],mean_min,mean_max,std[0],std[1],std[2],std[3],std[4],std_min,std_max,median[0],first_q[0],third_q[0],median[1],first_q[1],third_q[1],median[2],first_q[2],third_q[2],median[3],first_q[3],third_q[3],median[4],first_q[4],third_q[4],median_min,first_q_min,third_q_min,median_max,first_q_max,third_q_max,min[0],max[0],min[1],max[1],min[2],max[2],min[3],max[3],min[4],max[4],min_min,max_min,min_max,max_max
ue,0.0609854,0.0636213,0.0632988,0.0657335,0.0752163,0.0429754,0.0952136,0.0376162,0.0360257,0.0369329,0.0362267,0.042933,0.0230365,0.0453431,0.0537691,0.0327362,0.0807443,0.0575644,0.0384194,0.082493,0.0557768,0.0365477,0.0870882,0.0585877,0.0377944,0.0848505,0.0658318,0.0438792,0.0961717,0.0386396,0.0263211,0.0556408,0.0882442,0.0643131,0.122085,0.00624996,0.218153,0.00617224,0.215627,0.00564763,0.226721,0.00682638,0.213438,0.00710488,0.248159,-1,-1,0.137149,0.248159
oe,0.813264,0.813172,0.808457,0.800207,0.786158,0.749403,0.852691,0.0855924,0.0762466,0.0867648,0.0891745,0.0906653,0.0941769,0.0639154,0.827877,0.76777,0.877271,0.829606,0.765847,0.866546,0.826478,0.762006,0.86923,0.822067,0.741954,0.86604,0.800898,0.730604,0.856614,0.766368,0.678253,0.822274,0.862148,0.827851,0.897598,0.453857,0.949709,0.557445,0.950674,0.528993,0.950583,0.514168,0.946982,0.44523,0.953413,-1,-1,0.927986,0.953413
rec,0.855768,0.838881,0.849576,0.856822,0.84656,0.796726,0.891571,0.0728652,0.0736132,0.077243,0.0643865,0.0709009,0.0789575,0.0532283,0.861438,0.820439,0.909316,0.851498,0.800626,0.888319,0.858784,0.809785,0.905048,0.861951,0.823414,0.899104,0.857886,0.803054,0.897395,0.809932,0.747384,0.851739,0.893463,0.863907,0.929874,0.535592,0.991311,0.591559,0.987971,0.501388,0.990918,0.52669,0.978329,0.584885,0.971875,-1,-1,0.960373,0.991311
pre,0.111533,0.107056,0.112547,0.11799,0.124242,0.0811459,0.156242,0.0544066,0.0466602,0.0551586,0.0554815,0.0568953,0.035266,0.062384,0.0994338,0.0712,0.146382,0.101198,0.0722016,0.133171,0.102907,0.0747321,0.136292,0.103731,0.076792,0.154141,0.111817,0.0813107,0.151191,0.0738647,0.0572203,0.100052,0.148887,0.111126,0.189125,0.0320897,0.397322,0.0268107,0.260631,0.0248225,0.322599,0.0181628,0.304669,0.0299908,0.341548,-1,-1,0.21692,0.397322
ue_np,0.11956,0.124811,0.124382,0.12856,0.146125,0.0851614,0.184039,0.0715233,0.0685952,0.0707869,0.0690429,0.0800069,0.0452011,0.0830935,0.104397,0.0650255,0.158066,0.113937,0.07612,0.161651,0.111398,0.0726971,0.171391,0.117175,0.0744263,0.166262,0.12952,0.0870072,0.186307,0.0771465,0.0523054,0.110407,0.172943,0.127551,0.236462,0.0124999,0.403488,0.0123445,0.403054,0.0112953,0.415949,0.0136528,0.397828,0.0142098,0.436066,-1,-1,0.258062,0.436066
ue_levin,124.155,117.627,170.264,165.305,160.791,15.7879,393.851,258.791,222.761,329.676,282.541,236.918,28.6443,432,44.2853,7.31391,147.555,44.4663,6.90934,134.237,57.3951,8.48782,178.411,69.1077,15.51,208.643,75.5704,18.2858,197.558,4.82759,1.34588,15.6929,254.902,152.422,522.135,0.347901,2894.51,0.323949,2103.27,0.355605,2949.42,0.368781,2134.54,0.423748,1372.57,-1,-1,209.786,2949.42
asa,0.939015,0.936379,0.936701,0.934266,0.924784,0.904787,0.957024,0.0376119,0.0360287,0.0369298,0.0362374,0.0429306,0.0453405,0.0230516,0.946231,0.920098,0.968184,0.942436,0.918359,0.962112,0.944223,0.913631,0.963737,0.941412,0.915379,0.962406,0.934602,0.905201,0.956594,0.912513,0.878097,0.93649,0.962044,0.944515,0.973685,0.781847,0.99375,0.784373,0.993828,0.773279,0.994352,0.786562,0.993174,0.751841,0.992895,-1,-1,0.976632,0.994352
sse_rgb,1083,1083,1083,1083,1084.95,1078.94,1078.94,655.554,655.554,655.554,655.554,656.563,654.578,654.578,958.805,598.778,1444,958.805,598.778,1444,958.805,598.778,1444,958.805,598.778,1444,969.645,587.475,1445.76,963.054,587.475,1442.23,963.054,587.475,1442.23,102.525,4907.64,102.525,4907.64,102.525,4907.64,102.525,4907.64,102.525,4907.64,-1,-1,4907.64,4907.64
sse_xy,1457.02,1457.02,1457.02,1457.02,1460.25,1449.41,1449.41,762.122,762.122,762.122,762.122,762.583,756.194,756.194,1224.25,968.944,1717.86,1224.25,968.944,1717.86,1224.25,968.944,1717.86,1224.25,968.944,1717.86,1234.2,977.075,1723.23,1228.03,960.814,1712.5,1228.03,960.814,1712.5,597.294,5532.61,597.294,5532.61,597.294,5532.61,597.294,5532.61,597.294,5532.61,-1,-1,5532.61,5532.61
co,0.0908149,0.0908149,0.0908149,0.0908149,0.090799,0.0908909,0.0908909,0.0190123,0.0190123,0.0190123,0.0190123,0.0190575,0.0190277,0.0190277,0.0896597,0.0767745,0.10203,0.0896597,0.0767745,0.10203,0.0896597,0.0767745,0.10203,0.0896597,0.0767745,0.10203,0.0897935,0.0767505,0.102089,0.0900262,0.0767986,0.102089,0.0900262,0.0767986,0.102089,0.0524513,0.149527,0.0524513,0.149527,0.0524513,0.149527,0.0524513,0.149527,0.0524513,0.149527,-1,-1,0.149527,0.149527
ev,0.859015,0.859015,0.859015,0.859015,0.85885,0.859474,0.859474,0.0954477,0.0954477,0.0954477,0.0954477,0.095653,0.0954559,0.0954559,0.88742,0.817737,0.923874,0.88742,0.817737,0.923874,0.88742,0.817737,0.923874,0.88742,0.817737,0.923874,0.890117,0.815971,0.924113,0.892781,0.819503,0.924113,0.892781,0.819503,0.924113,0.521673,0.978767,0.521673,0.978767,0.521673,0.978767,0.521673,0.978767,0.521673,0.978767,-1,-1,0.978767,0.978767
mde,0.825993,0.906742,0.858136,0.803911,0.850386,0.657427,1.1082,0.380727,0.402444,0.426278,0.316426,0.353676,0.252602,0.476894,0.755987,0.576031,0.96685,0.788883,0.631227,1.08371,0.783518,0.591194,0.992587,0.759847,0.59931,0.935049,0.816783,0.616507,0.998567,0.636655,0.48583,0.777332,1.00496,0.809122,1.2774,0.179476,2.55267,0.236027,2.65786,0.263229,3.53878,0.333858,2.63027,0.276221,2.40475,-1,-1,1.81706,3.53878
icv,26.7918,26.7918,26.7918,26.7918,26.8097,26.6954,26.6954,8.32417,8.32417,8.32417,8.32417,8.34061,8.22953,8.22953,26.5947,21.0011,31.8929,26.5947,21.0011,31.8929,26.5947,21.0011,31.8929,26.5947,21.0011,31.8929,26.7632,20.9712,31.937,26.6775,20.9712,31.8488,26.6775,20.9712,31.8488,7.68998,55.182,7.68998,55.182,7.68998,55.182,7.68998,55.182,7.68998,55.182,-1,-1,55.182,55.182
cd,0.290859,0.290859,0.290859,0.290859,0.290862,0.29084,0.29084,0.0209536,0.0209536,0.0209536,0.0209536,0.0210048,0.0210035,0.0210035,0.288586,0.278353,0.301261,0.288586,0.278353,0.301261,0.288586,0.278353,0.301261,0.288586,0.278353,0.301261,0.288602,0.278347,0.301287,0.288602,0.278347,0.301287,0.288602,0.278347,0.301287,0.238217,0.383229,0.238217,0.383229,0.238217,0.383229,0.238217,0.383229,0.238217,0.383229,-1,-1,0.383229,0.383229
reg,0.261085,0.261085,0.261085,0.261085,0.26147,0.261484,0.261484,0.116725,0.116725,0.116725,0.116725,0.116881,0.116871,0.116871,0.189432,0.180092,0.40972,0.189432,0.180092,0.40972,0.189432,0.180092,0.40972,0.189432,0.180092,0.40972,0.189442,0.1799,0.41095,0.189442,0.180285,0.41095,0.189442,0.180285,0.41095,0.138193,0.495894,0.138193,0.495894,0.138193,0.495894,0.138193,0.495894,0.138193,0.495894,-1,-1,0.495894,0.495894
sp,254.015,254.015,254.015,254.015,254.034,254.025,254.025,6.00456,6.00456,6.00456,6.00456,6.01236,6.01755,6.01755,252,251,254,252,251,254,252,251,254,252,251,254,252,251,254,252,251,254,252,251,254,250,295,250,295,250,295,250,295,250,295,-1,-1,295,295
sp_size,608.159,608.159,608.159,608.159,608.113,608.137,608.137,13.4187,13.4187,13.4187,13.4187,13.435,13.4478,13.4478,612.702,607.878,615.143,612.702,607.878,615.143,612.702,607.878,615.143,612.702,607.878,615.143,612.702,607.878,615.143,612.702,607.878,615.143,612.702,607.878,615.143,523.393,617.604,523.393,617.604,523.393,617.604,523.393,617.604,523.393,617.604,-1,-1,617.604,617.604
sp_size_variation,1077.89,1077.89,1077.89,1077.89,1078.73,1077.16,1077.16,281.811,281.811,281.811,281.811,282.244,282.309,282.309,1020.09,903.825,1182.48,1020.09,903.825,1182.48,1020.09,903.825,1182.48,1020.09,903.825,1182.48,1025.53,903.785,1183.5,1021.98,903.785,1181.46,1021.98,903.785,1181.46,668.437,2320.44,668.437,2320.44,668.437,2320.44,668.437,2320.44,668.437,2320.44,-1,-1,2320.44,2320.44
